"","NEC","DRW","TOH","ART","JND","MSP","RAB","SCU","AFL","HEM","DRM","BAY","North Dune","Dorm Dune","Mussel Point","Artemisia Dune","Front Dune","Overlook 1","Overlook 2","South Dune"
"NEC",0,310.873794797801,742.395787107986,1297.66536718433,1201.65380459074,1388.34827713357,782.367083201982,73.8228904556774,752.788671234195,851.32780329066,740.997808289553,806.702447632204,771.012342833265,693.167121685418,1378.58643937825,1176.82412780536,810.643800326963,567.595262699176,498.594467651815,43.3531134971595
"DRW",310.873794797801,0,456.82263414755,1004.14636565666,920.177795811544,1088.81394119381,800.889591598158,374.776526780352,456.087514319759,557.127311208104,917.444900463519,956.240538024823,918.70473255198,828.188193783468,1080.9758938256,884.177997641518,519.828598633208,340.002256135144,434.666688366643,342.209966574831
"TOH",742.395787107986,456.82263414755,0,555.603767864588,463.524345961296,650.329166426505,809.748234700151,813.822475148985,60.4003401142475,115.854293332981,1112.90020788421,1110.46402511006,1076.36747552401,985.781860378046,638.597117548977,434.717825642899,71.5037861171998,563.392482924523,801.075020904771,762.156976876517
"ART",1297.66536718433,1004.14636565666,555.603767864588,0,144.096401721954,116.570230160846,1202.02944354096,1368.62051279841,548.091223433993,447.449369581479,1584.9884440921,1558.95170483671,1529.80814818875,1447.42767749692,93.5687730365468,120.885950668966,487.088391206049,1006.41146166824,1277.32061893062,1317.75598673759
"JND",1201.65380459074,920.177795811544,463.524345961296,144.096401721954,0,260.393020581006,1060.21220441749,1274.07129033365,469.83209028631,369.451144097964,1448.84061768224,1420.02397154206,1391.52303586603,1310.47606184423,235.815806947945,102.225552645397,401.844247560396,967.675680079075,1230.88294771719,1218.44057170022
"MSP",1388.34827713357,1088.81394119381,650.329166426505,116.570230160846,260.393020581006,0,1318.30105147584,1458.10671731439,635.58360284038,537.685177754045,1698.78759680076,1674.06715360907,1644.64192073711,1561.66645167055,28.6278973157581,223.816519780902,579.825601948501,1060.71702611928,1334.58546308315,1410.45367699646
"RAB",782.367083201982,800.889591598158,809.748234700151,1202.02944354096,1060.21220441749,1318.30105147584,0,832.892846418682,866.035502394275,902.761143524482,436.124371886104,377.108854116923,356.950663280995,301.746514133756,1295.25924295819,1104.83989827889,864.062042560733,1130.80799447836,1213.88428273263,756.169064056832
"SCU",73.8228904556774,374.776526780352,813.822475148985,1368.62051279841,1274.07129033365,1458.10671731439,832.892846418682,0,822.58617491988,921.751589874056,754.969844616669,827.482471218931,792.958747190094,720.210163113868,1448.79205813273,1247.84703013556,881.533948054281,603.538334698693,500.172591838219,78.6458839024822
"AFL",752.788671234195,456.087514319759,60.4003401142475,548.091223433993,469.83209028631,635.58360284038,866.035502394275,822.58617491988,0,101.421012432543,1159.13633359952,1159.98418268035,1125.41393924569,1034.17337303866,626.309791117177,428.113397508692,70.7402522996165,525.237754529815,772.808484031885,775.501622975475
"HEM",851.32780329066,557.127311208104,115.854293332981,447.449369581479,369.451144097964,537.685177754045,902.761143524482,921.751589874056,101.421012432543,0,1222.43223729099,1216.29845231391,1182.86535944141,1093.21429626538,527.287947700171,327.132969235008,44.643536146552,611.723465361758,866.732460681608,872.834017433629
"DRM",740.997808289553,917.444900463519,1112.90020788421,1584.9884440921,1448.84061768224,1698.78759680076,436.124371886104,754.969844616669,1159.13633359952,1222.43223729099,0,101.433466155509,91.7244340468375,140.269781374964,1678.38229098657,1477.35545920355,1178.96779953611,1252.27963799309,1238.41035234233,699.998917085457
"BAY",806.702447632204,956.240538024823,1110.46402511006,1558.95170483671,1420.02397154206,1674.06715360907,377.108854116923,827.482471218931,1159.98418268035,1216.29845231391,101.433466155509,0,37.5361081780934,129.838022014817,1652.52046411054,1455.11476136497,1173.85052620688,1294.88282265989,1299.794836742,767.347151428808
"North Dune",771.012342833265,918.70473255198,1076.36747552401,1529.80814818875,1391.52303586603,1644.64192073711,356.950663280995,792.958747190094,1125.41393924569,1182.86535944141,91.7244340468375,37.5361081780934,0,92.9601920839938,1623.36580807249,1425.02672213079,1140.22373618981,1257.35726660211,1263.32500199403,731.947003012187
"Dorm Dune",693.167121685418,828.188193783468,985.781860378046,1447.42767749692,1310.47606184423,1561.66645167055,301.746514133756,720.210163113868,1034.17337303866,1093.21429626538,140.269781374964,129.838022014817,92.9601920839938,0,1540.90817940544,1340.95097526988,1050.29740336451,1167.41848298751,1180.94810685907,655.576123202728
"Mussel Point",1378.58643937825,1080.9758938256,638.597117548977,93.5687730365468,235.815806947945,28.6278973157581,1295.25924295819,1448.79205813273,626.309791117177,527.287947700171,1678.38229098657,1652.52046411054,1623.36580807249,1540.90817940544,0,207.422332841912,568.673149948195,1061.86461856276,1335.13622752949,1399.97153425732
"Artemisia Dune",1176.82412780536,884.177997641518,434.717825642899,120.885950668966,102.225552645397,223.816519780902,1104.83989827889,1247.84703013556,428.113397508692,327.132969235008,1477.35545920355,1455.11476136497,1425.02672213079,1340.95097526988,207.422332841912,0,366.324643155825,899.424035576546,1167.72988634432,1196.87084108889
"Front Dune",810.643800326963,519.828598633208,71.5037861171998,487.088391206049,401.844247560396,579.825601948501,864.062042560733,881.533948054281,70.7402522996165,44.643536146552,1178.96779953611,1173.85052620688,1140.22373618981,1050.29740336451,568.673149948195,366.324643155825,0,594.569241772536,843.527321219998,831.364104115984
"Overlook 1",567.595262699176,340.002256135144,563.392482924523,1006.41146166824,967.675680079075,1060.71702611928,1130.80799447836,603.538334698693,525.237754529815,611.723465361758,1252.27963799309,1294.88282265989,1257.35726660211,1167.41848298751,1061.86461856276,899.424035576546,594.569241772536,0,274.713749003915,609.456634054703
"Overlook 2",498.594467651815,434.666688366643,801.075020904771,1277.32061893062,1230.88294771719,1334.58546308315,1213.88428273263,500.172591838219,772.808484031885,866.732460681608,1238.41035234233,1299.794836742,1263.32500199403,1180.94810685907,1335.13622752949,1167.72988634432,843.527321219998,274.713749003915,0,540.874668961268
"South Dune",43.3531134971595,342.209966574831,762.156976876517,1317.75598673759,1218.44057170022,1410.45367699646,756.169064056832,78.6458839024822,775.501622975475,872.834017433629,699.998917085457,767.347151428808,731.947003012187,655.576123202728,1399.97153425732,1196.87084108889,831.364104115984,609.456634054703,540.874668961268,0
